url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,137,55
/davefx/dfx-ha-history-editor/issues,8,7
/davefx/dfx-ha-history-editor/commits,3,3
/davefx/dfx-ha-history-editor/blob/main/CLAUDE.md,2,2
/davefx/dfx-ha-history-editor/issues/78,2,2
/davefx/dfx-ha-history-editor/blob/main/DEBUG_GUIDE.md,1,1
/davefx/dfx-ha-history-editor/blob/main/SCREENSHOTS.md,1,1
/davefx/dfx-ha-history-editor/blob/main/examples/automations.yaml,1,1
/davefx/dfx-ha-history-editor/branches,1,1
/davefx/dfx-ha-history-editor/commit/c7ef711c0799319a572aa5cb806a243339abe2d4,1,1
