time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-26 00:00:00+00:00,12,6,0,0
2026-05-27 00:00:00+00:00,19,9,1,1
2026-05-28 00:00:00+00:00,22,12,6,4
2026-05-29 00:00:00+00:00,30,11,2,1
2026-05-30 00:00:00+00:00,28,9,4,1
2026-05-31 00:00:00+00:00,22,11,9,4
2026-06-01 00:00:00+00:00,37,11,1,1
2026-06-02 00:00:00+00:00,23,9,9,2
2026-06-03 00:00:00+00:00,18,7,1,1
2026-06-04 00:00:00+00:00,27,8,2,2
2026-06-05 00:00:00+00:00,23,8,3,3
2026-06-06 00:00:00+00:00,31,11,12,4
2026-06-07 00:00:00+00:00,18,7,3,3
2026-06-08 00:00:00+00:00,28,10,1,1
