url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,143,61
/davefx/dfx-ha-history-editor/issues,13,10
/davefx/dfx-ha-history-editor/activity,10,1
/davefx/dfx-ha-history-editor/blob/main/examples/automations.yaml,3,2
/davefx/dfx-ha-history-editor/blob/main/CLAUDE.md,2,2
/davefx/dfx-ha-history-editor/blob/main/README.md,2,2
/davefx/dfx-ha-history-editor/blob/main/configuration.yaml.example,2,2
/davefx/dfx-ha-history-editor/branches,2,2
/davefx/dfx-ha-history-editor/tree/main/examples,2,2
/davefx/dfx-ha-history-editor/releases/tag/v1.3.2,2,1
