url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,98,48
/davefx/dfx-ha-history-editor/activity,10,1
/davefx/dfx-ha-history-editor/issues,7,5
/davefx/dfx-ha-history-editor/tree/main/examples,7,4
/davefx/dfx-ha-history-editor/blob/main/examples/automations.yaml,5,4
/davefx/dfx-ha-history-editor/blob/main/configuration.yaml.example,4,4
/davefx/dfx-ha-history-editor/tree/main,4,2
/davefx/dfx-ha-history-editor/releases/tag/v1.3.2,3,2
/davefx/dfx-ha-history-editor/tree/main/custom_components/history_editor,3,2
/davefx/dfx-ha-history-editor/blob/main/README.md,2,2
