url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,38,24
/davefx/dfx-ha-history-editor/issues,3,3
/davefx/dfx-ha-history-editor/releases,2,2
/davefx/dfx-ha-history-editor/blob/main/requirements-test.txt,1,1
/davefx/dfx-ha-history-editor/commit/c7ef711c0799319a572aa5cb806a243339abe2d4,1,1
/davefx/dfx-ha-history-editor/commits,1,1
/davefx/dfx-ha-history-editor/commits/main,1,1
/davefx/dfx-ha-history-editor/projects,1,1
/davefx/dfx-ha-history-editor/pulls,1,1
/davefx/dfx-ha-history-editor/pulse,1,1
