time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-11 00:00:00+00:00,17,7,14,7
2026-07-12 00:00:00+00:00,3,2,14,4
2026-07-13 00:00:00+00:00,10,4,4,3
2026-07-14 00:00:00+00:00,20,10,1,1
2026-07-15 00:00:00+00:00,5,4,4,2
2026-07-16 00:00:00+00:00,5,4,13,4
2026-07-17 00:00:00+00:00,23,9,7,5
2026-07-18 00:00:00+00:00,28,9,10,6
2026-07-19 00:00:00+00:00,8,5,8,4
2026-07-20 00:00:00+00:00,20,9,0,0
2026-07-21 00:00:00+00:00,14,8,14,8
2026-07-22 00:00:00+00:00,4,3,3,2
2026-07-23 00:00:00+00:00,18,8,9,9
2026-07-24 00:00:00+00:00,3,3,7,4
