url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,63,33
/davefx/dfx-ha-history-editor/issues,4,4
/davefx/dfx-ha-history-editor/pulls,3,2
/davefx/dfx-ha-history-editor/releases/tag/v1.3.0,3,2
/davefx/dfx-ha-history-editor/pulse,2,2
/davefx/dfx-ha-history-editor/blob/main/README.md,1,1
/davefx/dfx-ha-history-editor/blob/main/configuration.yaml.example,1,1
/davefx/dfx-ha-history-editor/blob/main/requirements-test.txt,1,1
/davefx/dfx-ha-history-editor/projects,1,1
/davefx/dfx-ha-history-editor/releases,1,1
