url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,91,52
/davefx/dfx-ha-history-editor/issues,13,8
/davefx/dfx-ha-history-editor/issues/79,4,4
/davefx/dfx-ha-history-editor/issues/65,3,3
/davefx/dfx-ha-history-editor/blob/main/configuration.yaml.example,2,2
/davefx/dfx-ha-history-editor/issues/81,2,2
/davefx/dfx-ha-history-editor/blob/main/CHANGELOG.md,2,1
/davefx/dfx-ha-history-editor/issues/new,2,1
/davefx/dfx-ha-history-editor/actions,1,1
/davefx/dfx-ha-history-editor/commit/e234c9d91686726968e8275a75977ad8cf86661e,1,1
