url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,119,53
/davefx/dfx-ha-history-editor/issues,11,8
/davefx/dfx-ha-history-editor/activity,10,1
/davefx/dfx-ha-history-editor/blob/main/README.md,2,2
/davefx/dfx-ha-history-editor/blob/main/configuration.yaml.example,2,2
/davefx/dfx-ha-history-editor/blob/main/examples/automations.yaml,2,2
/davefx/dfx-ha-history-editor/tree/main/examples,2,2
/davefx/dfx-ha-history-editor/releases/tag/v1.3.2,2,1
/davefx/dfx-ha-history-editor/blob/main/CLAUDE.md,1,1
/davefx/dfx-ha-history-editor/blob/main/DEBUG_GUIDE.md,1,1
