time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,36,12,7,7
2026-06-16 00:00:00+00:00,19,8,3,1
2026-06-17 00:00:00+00:00,16,5,4,2
2026-06-18 00:00:00+00:00,40,14,6,4
2026-06-19 00:00:00+00:00,33,8,3,3
2026-06-20 00:00:00+00:00,37,11,16,3
2026-06-21 00:00:00+00:00,61,16,8,3
2026-06-22 00:00:00+00:00,81,22,11,6
2026-06-23 00:00:00+00:00,18,10,3,3
2026-06-24 00:00:00+00:00,45,23,3,3
2026-06-25 00:00:00+00:00,14,9,3,3
2026-06-26 00:00:00+00:00,20,10,1,1
2026-06-27 00:00:00+00:00,28,13,7,3
2026-06-28 00:00:00+00:00,17,7,6,4
