time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-21 00:00:00+00:00,61,16,8,3
2026-06-22 00:00:00+00:00,81,22,11,6
2026-06-23 00:00:00+00:00,18,10,3,3
2026-06-24 00:00:00+00:00,45,23,3,3
2026-06-25 00:00:00+00:00,14,9,3,3
2026-06-26 00:00:00+00:00,20,10,1,1
2026-06-27 00:00:00+00:00,28,13,7,3
2026-06-28 00:00:00+00:00,17,7,6,4
2026-06-29 00:00:00+00:00,16,6,9,4
2026-06-30 00:00:00+00:00,21,7,4,3
2026-07-01 00:00:00+00:00,18,8,9,5
2026-07-02 00:00:00+00:00,22,18,4,3
2026-07-03 00:00:00+00:00,18,9,16,6
2026-07-04 00:00:00+00:00,21,10,0,0
