time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,28,9,4,1
2026-05-31 00:00:00+00:00,22,11,9,4
2026-06-01 00:00:00+00:00,37,11,1,1
2026-06-02 00:00:00+00:00,23,9,9,2
2026-06-03 00:00:00+00:00,18,7,1,1
2026-06-04 00:00:00+00:00,27,8,2,2
2026-06-05 00:00:00+00:00,23,8,3,3
2026-06-06 00:00:00+00:00,31,11,12,4
2026-06-07 00:00:00+00:00,18,7,3,3
2026-06-08 00:00:00+00:00,28,10,1,1
2026-06-09 00:00:00+00:00,38,13,7,3
2026-06-10 00:00:00+00:00,28,11,7,5
2026-06-11 00:00:00+00:00,22,7,4,4
2026-06-12 00:00:00+00:00,15,4,6,5
