url_path,views_total,views_unique
/davefx/dfx-ha-history-editor,142,59
/davefx/dfx-ha-history-editor/issues,12,9
/davefx/dfx-ha-history-editor/activity,10,1
/davefx/dfx-ha-history-editor/blob/main/examples/automations.yaml,3,2
/davefx/dfx-ha-history-editor/releases/tag/v1.3.2,3,2
/davefx/dfx-ha-history-editor/blob/main/CLAUDE.md,2,2
/davefx/dfx-ha-history-editor/blob/main/README.md,2,2
/davefx/dfx-ha-history-editor/branches,2,2
/davefx/dfx-ha-history-editor/issues/78,2,2
/davefx/dfx-ha-history-editor/tree/main/examples,2,2
