time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-07 00:00:00+00:00,18,7,3,3
2026-06-08 00:00:00+00:00,28,10,1,1
2026-06-09 00:00:00+00:00,38,13,7,3
2026-06-10 00:00:00+00:00,28,11,7,5
2026-06-11 00:00:00+00:00,22,7,4,4
2026-06-12 00:00:00+00:00,15,4,6,5
2026-06-13 00:00:00+00:00,27,7,12,3
2026-06-14 00:00:00+00:00,35,10,7,3
2026-06-15 00:00:00+00:00,36,12,7,7
2026-06-16 00:00:00+00:00,19,8,3,1
2026-06-17 00:00:00+00:00,16,5,4,2
2026-06-18 00:00:00+00:00,40,14,6,4
2026-06-19 00:00:00+00:00,33,8,3,3
2026-06-20 00:00:00+00:00,37,11,16,3
