time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-20 00:00:00+00:00,21,10,15,9
2026-08-21 00:00:00+00:00,8,7,16,7
2026-08-22 00:00:00+00:00,7,6,13,5
2026-08-23 00:00:00+00:00,11,8,12,8
2026-08-24 00:00:00+00:00,11,7,19,12
2026-08-25 00:00:00+00:00,5,4,29,13
2026-08-26 00:00:00+00:00,13,3,6,6
2026-08-27 00:00:00+00:00,11,10,8,7
2026-08-28 00:00:00+00:00,7,5,6,5
2026-08-29 00:00:00+00:00,3,2,14,6
2026-08-30 00:00:00+00:00,7,6,7,6
2026-08-31 00:00:00+00:00,16,15,16,8
2026-09-01 00:00:00+00:00,13,8,14,10
2026-09-02 00:00:00+00:00,15,6,13,6
